Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
SKR0002;Вязанный костюм "RUBY" SKR0002;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;темно-синий;;575;1508;26;https://niko-opt.com/kostyumy-vyazanye/1691-vyazannyj-kostyum-ruby-skr0002.html;http://niko-opt.com/5903-large_default/vyazannyj-kostyum-ruby-skr0002.jpg,;
SKR0003;Вязанный костюм "RUBY" SKR0003;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;марсала;;575;1508;26;https://niko-opt.com/kostyumy-vyazanye/1692-vyazannyj-kostyum-ruby-skr0003.html;http://niko-opt.com/5905-large_default/vyazannyj-kostyum-ruby-skr0003.jpg,http://niko-opt.com/5906-large_default/vyazannyj-kostyum-ruby-skr0003.jpg;
SKR0005;Вязанный костюм "RUBY" SKR0005;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см ;42-46;светло-серый;;575;1508;26;https://niko-opt.com/kostyumy-vyazanye/1694-vyazannyj-kostyum-ruby-skr0005.html;http://niko-opt.com/5908-large_default/vyazannyj-kostyum-ruby-skr0005.jpg,;
SKR0006;Вязанный костюм "RUBY" SKR0006;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;графит;;575;1508;26;https://niko-opt.com/kostyumy-vyazanye/1695-vyazannyj-kostyum-ruby-skr0006.html;http://niko-opt.com/5910-large_default/vyazannyj-kostyum-ruby-skr0006.jpg,;
SKR0007;Вязанный костюм "RUBY" SKR0007;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;электрик;;575;1508;26;https://niko-opt.com/kostyumy-vyazanye/1696-vyazannyj-kostyum-ruby-skr0007.html;http://niko-opt.com/5912-large_default/vyazannyj-kostyum-ruby-skr0007.jpg,;
VKL0001;Вязаный кардиган "LIKA" VKL0001;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;светло-серый;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1787-vyazanyj-kardigan-lika-vkl0001.html;http://niko-opt.com/6269-large_default/vyazanyj-kardigan-lika-vkl0001.jpg,;
VKL0003;Вязаный кардиган "LIKA" VKL0003;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;молоко;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1789-vyazanyj-kardigan-lika-vkl0003.html;http://niko-opt.com/6277-large_default/vyazanyj-kardigan-lika-vkl0003.jpg,;
VKL0004;Вязаный кардиган "LIKA" VKL0004;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;джинс;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1790-vyazanyj-kardigan-lika-vkl0004.html;http://niko-opt.com/6281-large_default/vyazanyj-kardigan-lika-vkl0004.jpg,;
VKL0007;Вязаный кардиган "LIKA" VKL0007;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;марсала;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1793-vyazanyj-kardigan-lika-vkl0007.html;http://niko-opt.com/6295-large_default/vyazanyj-kardigan-lika-vkl0007.jpg,;
VKL0008;Вязаный кардиган "LIKA" VKL0008;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;зеленый;;506;1335;23;https://niko-opt.com/kardigany-vyazanye/1794-vyazanyj-kardigan-lika-vkl0008.html;http://niko-opt.com/6299-large_default/vyazanyj-kardigan-lika-vkl0008.jpg,;
